rank,battery_idx,total_swing,ld_clean,ld_corrupt,p_clean_target_on_clean,p_corrupt_target_on_corrupt,category,clean_prompt,corrupt_prompt,clean_target,corrupt_target,clean_target_id,corrupt_target_id
36,35,nan,nan,nan,nan,nan,animal_taxonomy,A cat is a common example of a,A salmon is a common example of a, mammal, fish,121921,5385
37,36,nan,nan,nan,nan,nan,animal_taxonomy,A polar bear is classified as a,A great white is classified as a, mammal, fish,121921,5385
38,37,nan,nan,nan,nan,nan,history_dates,The first US president was,The sixteenth US president was, Washington, Lincoln,7693,26123
39,38,nan,nan,nan,nan,nan,history_dates,The scientist Isaac Newton was,The scientist Albert Einstein was, English, German,5422,9115
40,39,nan,nan,nan,nan,nan,history_dates,The leader Napoleon was born in,The leader Churchill was born in, France, England,7001,7591
41,40,nan,nan,nan,nan,nan,technology_founders,Steve Jobs co-founded the company named,Bill Gates co-founded the company named, Apple, Microsoft,9947,9265
42,41,nan,nan,nan,nan,nan,technology_founders,YouTube was later acquired by the company,Instagram was later acquired by the company, Google, Meta,6475,31145
43,42,nan,nan,nan,nan,nan,technology_founders,The web browser Chrome was built by the company,The web browser Safari was built by the company, Google, Apple,6475,9947
44,43,nan,2.751953,nan,0.00000000,nan,units_measurement,Distance in the metric system uses,Mass in the metric system uses, meters, grams,15930,31254
45,44,nan,nan,nan,nan,nan,units_measurement,Liquid volume in metric science uses,Electric potential in metric science uses, liters, volts,66795,45684
46,45,nan,nan,nan,nan,nan,units_measurement,The metric unit for length is the,The metric unit for mass is the, meter, gram,19119,12187
47,46,nan,nan,nan,nan,nan,literature_authors,The epic Inferno was written by,The epic Odyssey was written by, Dante, Homer,83246,81043
48,47,nan,nan,-6.410156,nan,0.00000001,literature_authors,The novel Dune was written by,The novel It was written by, Herbert, King,44923,6065
49,48,nan,nan,nan,nan,nan,mythology_roman_greek,The Roman god Mars is the Greek god,The Roman god Jupiter is the Greek god, Ares, Zeus,199820,107050
50,49,nan,nan,nan,nan,nan,mythology_roman_greek,The Roman god Mercury matches the Greek god,The Roman god Neptune matches the Greek god, Hermes, Hera,141066,83974
51,50,nan,nan,nan,nan,nan,mythology_roman_greek,The Roman goddess Venus matches the Greek goddess,The Roman goddess Diana matches the Greek goddess, Hera, Hermes,83974,141066
52,51,nan,nan,nan,nan,nan,pop_culture_bands,The band Nirvana was associated strongly with,The band Metallica was associated strongly with, grunge, metal,34927,6211
53,52,nan,nan,nan,nan,nan,pop_culture_bands,The band Beatles hailed originally from,The band Eagles hailed originally from, England, America,7591,5711
54,53,nan,nan,nan,nan,nan,pop_culture_bands,The rock band Queen formed in the city of,The rock band Oasis formed in the city of, London, Manchester,5860,19127
55,54,nan,nan,nan,nan,nan,materials_composition,Common drinking glasses are made of,Common plastic bottles are made of, glass, plastic,4896,8901
56,55,nan,nan,nan,nan,nan,materials_composition,Most consumer aluminum foil is made from,Most consumer plastic wrap is made from, aluminum, plastic,20743,8901
57,56,nan,nan,nan,nan,nan,materials_composition,Steel beams in construction are mostly made of,Copper wires in circuits are mostly made of, steel, copper,8103,14561
